date,monitor_index,humidity,pressure,temperature,voc,analog_input,pm2.5_alt,pm1.0_atm,pm2.5_atm,pm10.0_atm,sensor.latitude,sensor.longitude,sensor.altitude,sensor.name
02/23/24,195089,14.37766667,912.8843333,62.26666667,51.99866667,0.051333333,0.1,0,0.0025,0.039666667,40.050922,-101.53357,3005,Swnphd-Benklemen
02/23/24,195365,12.2236,926.403,71.1934,64.9208,0,0.18,0.0048,0.02,0.176,40.20033,-100.639885,2576,Swnphd-mccook
02/23/24,195541,20.09575,905.67075,61.00825,68.307,0.02,0.1625,0.004125,0.0148125,0.0639375,41.128284,-101.72022,3220,Swnphd-ogallala
02/24/24,195089,25.368,911.7088333,51.46245833,91.17675,0.052666667,0.4375,0.099541667,0.170666667,0.355208333,40.050922,-101.53357,3005,Swnphd-Benklemen
02/24/24,195365,23.70308333,925.282125,56.81820833,107.8637083,0,0.475,0.099208333,0.2316875,0.548583333,40.20033,-100.639885,2576,Swnphd-mccook
02/24/24,195541,29.08208333,903.069,52.06383333,96.558875,0.02,0.441666667,0.053416667,0.1188125,0.241583333,41.128284,-101.72022,3220,Swnphd-ogallala
02/25/24,195089,20.633125,906.1996667,54.271,98.02720833,0.053541667,0.741666667,0.186166667,0.536166667,1.272979167,40.050922,-101.53357,3005,Swnphd-Benklemen
02/25/24,195365,17.34170833,919.602625,61.311,104.3900833,0,0.941666667,0.543604167,0.907916667,1.609354167,40.20033,-100.639885,2576,Swnphd-mccook
02/25/24,195541,23.90420833,897.8424167,55.67083333,89.88025,0.02,0.791666667,0.283729167,0.602854167,0.985020833,41.128284,-101.72022,3220,Swnphd-ogallala
02/26/24,195089,18.94879167,901.1637917,57.55679167,83.77395833,0.053291667,0.85,0.279895833,0.744229167,1.834645833,40.050922,-101.53357,3005,Swnphd-Benklemen
02/26/24,195365,14.35570833,914.5544583,65.521375,81.12204167,0,1.0375,0.593520833,1.106291667,2.125104167,40.20033,-100.639885,2576,Swnphd-mccook
02/26/24,195541,21.3695,892.5120417,58.236,78.58345833,0.02,1.104166667,0.785479167,1.1913125,1.623916667,41.128284,-101.72022,3220,Swnphd-ogallala
02/27/24,195089,32.4205,897.2599167,44.2295,86.679,0.056708333,1,0.547395833,1.066583333,1.9510625,40.050922,-101.53357,3005,Swnphd-Benklemen
02/27/24,195365,28.79054167,910.6137083,48.36245833,78.24654167,0,1.25,0.848125,1.5471875,2.770916667,40.20033,-100.639885,2576,Swnphd-mccook
02/27/24,195541,33.19029167,890.1061667,44.052875,75.24470833,0.02,0.8625,0.389104167,0.7536875,1.073125,41.128284,-101.72022,3220,Swnphd-ogallala
02/28/24,195089,31.28620833,914.6477083,36.00345833,93.79445833,0.057583333,1.0875,0.810395833,1.325041667,1.9499375,40.050922,-101.53357,3005,Swnphd-Benklemen
02/28/24,195365,27.95933333,929.4104583,36.973,107.2535,0,0.870833333,0.448791667,0.896479167,1.506666667,40.20033,-100.639885,2576,Swnphd-mccook
02/28/24,195541,30.08141667,905.6964167,37.30675,93.267,0.02,1.0125,0.697833333,1.220041667,1.662770833,41.128284,-101.72022,3220,Swnphd-ogallala
02/29/24,195089,24.12216667,910.5307917,48.04591667,83.086,0.055916667,1.008333333,0.607854167,1.013375,1.674145833,40.050922,-101.53357,3005,Swnphd-Benklemen
02/29/24,195319,12.47033333,947.6366667,65.57144444,60.84833333,0,2.466666667,3.050166667,4.065166667,4.894166667,40.58907,-98.38319,1920,South Heartland District Health Dept. Hastings office
02/29/24,195365,20.25145833,925.4269167,52.8285,81.62975,0,18.68333333,19.92047917,28.60129167,35.03220833,40.20033,-100.639885,2576,Swnphd-mccook
02/29/24,195541,21.10541667,901.8405417,55.31658333,82.18966667,0.02,1.066666667,0.571479167,1.027145833,1.6305,41.128284,-101.72022,3220,Swnphd-ogallala
03/01/24,195089,29.860375,905.012625,55.29058333,79.58045833,0.053416667,8.216666667,11.81004167,15.40245833,17.00810417,40.050922,-101.53357,3005,Swnphd-Benklemen
03/01/24,195319,12.36433333,944.002,81.597,79.13166667,0,0.966666667,0.591833333,0.860333333,1.058333333,40.58907,-98.38319,1920,South Heartland District Health Dept. Hastings office
03/01/24,195333,16.08066667,923.7533333,73.31133333,82.911,0.01,4.2,5.483166667,6.878666667,7.666166667,40.780205,-99.740486,2392,TRPHD Dawson Co. Courthouse 25
03/01/24,195365,33.20670833,919.613875,56.39029167,65.59633333,0,11.31666667,15.22947917,21.61708333,25.3195,40.20033,-100.639885,2576,Swnphd-mccook
03/01/24,195383,10.92375,929.63875,84.34175,65.8965,0.05,4.425,5.473375,7.385125,9.25075,41.77938,-99.13804,2174,Loup Basin Public Health Department
03/01/24,195541,22.81525,896.4917083,60.588875,85.274375,0.019333333,4.183333333,5.381895833,7.159229167,8.121854167,41.128284,-101.72022,3220,Swnphd-ogallala
03/02/24,195089,20.17220833,900.4415833,61.45479167,79.70983333,0.05125,2.383333333,2.6164375,3.55775,4.264895833,40.050922,-101.53357,3005,Swnphd-Benklemen
03/02/24,195333,55.604125,922.31975,48.7705,93.60208333,0.01,18.29583333,22.10270833,33.43375,37.77477083,40.780205,-99.740486,2392,TRPHD Dawson Co. Courthouse 25
03/02/24,195365,31.3765,915.3714583,60.051375,61.318875,0,9.929166667,13.14447917,18.12395833,20.27485417,40.20033,-100.639885,2576,Swnphd-mccook
03/02/24,195383,39.68320833,929.7619167,56.473625,75.04854167,0.05,13.27083333,17.22839583,26.23908333,29.38441667,41.77938,-99.13804,2174,Loup Basin Public Health Department
03/02/24,195541,25.66941667,892.766375,61.99308333,78.39054167,0.01925,6.370833333,7.697791667,10.77889583,12.00222917,41.128284,-101.72022,3220,Swnphd-ogallala
03/03/24,195089,9.279291667,895.2580833,60.880625,106.9614583,0.05025,0.8125,0.740520833,1.0015,1.497645833,40.050922,-101.53357,3005,Swnphd-Benklemen
03/03/24,195333,28.822125,914.3907917,56.48591667,126.5664167,0.01,5.433333333,6.697083333,9.872083333,10.72064583,40.780205,-99.740486,2392,TRPHD Dawson Co. Courthouse 25
03/03/24,195365,12.518375,908.891625,65.010375,115.5672083,0,2.266666667,3.0435625,3.775458333,4.3368125,40.20033,-100.639885,2576,Swnphd-mccook
